Proxy,Type,Latency (s),10MB Download Time (s),Speed (MB/sec),Score
164.163.40.14:10000,http,1.125,6.582,1.519,1.35
164.163.42.17:10000,http,1.01,7.0,1.429,1.415
185.59.100.55:1080,socks5,1.104,3.042,3.288,2.977
164.163.43.102:10000,http,1.273,7.174,1.394,1.095
89.58.45.94:34732,http,2.684,13.441,0.744,0.277
154.16.146.48:80,http,0.3,1.966,5.088,16.949
18.60.146.88:57355,http,0.743,0.752,13.29,17.881
20.204.43.57:80,http,2.009,14.834,0.674,0.335
154.16.146.44:80,http,0.424,2.779,3.598,8.48
104.248.203.234:1080,socks5,1.451,3.152,3.173,2.187
154.16.146.46:80,http,0.376,2.143,4.666,12.418
45.186.6.104:3128,http,1.098,22.448,0.445,0.405
64.227.131.240:1080,socks5,6.076,10.54,0.949,0.156
206.189.57.182:1080,socks5,1.634,3.626,2.758,1.688
159.65.128.194:1080,socks5,5.807,6.837,1.463,0.252
195.88.71.201:8888,http,0.39,152.363,0.066,0.169
134.199.159.23:1080,socks5,1.794,5.077,1.97,1.098
8.213.134.213:30000,http,6.074,3.813,2.623,0.432
143.110.217.153:1080,socks5,8.942,8.745,1.144,0.128
154.205.147.234:1080,socks5,6.749,6.677,1.498,0.222
143.110.190.60:1080,socks5,7.409,9.14,1.094,0.148
27.254.217.116:8081,http,1.685,56.686,0.176,0.104
161.35.82.57:1080,socks5,7.514,9.427,1.061,0.141
47.91.104.88:3128,http,8.603,107.063,0.093,0.011
192.241.156.17:1080,socks5,7.917,10.8,0.926,0.117
185.191.236.162:3128,http,0.631,4.243,2.357,3.733
27.71.141.120:16000,http,3.751,6.001,1.666,0.444
37.187.109.70:10111,http,5.422,46.859,0.213,0.039
144.76.159.121:8084,http,0.384,4.831,2.07,5.397
144.76.159.121:8082,http,0.598,4.698,2.129,3.56
144.76.159.121:8085,http,0.365,5.233,1.911,5.232
103.214.109.66:80,http,6.16,3.739,2.674,0.434
147.28.240.213:9443,http,0.325,9.027,1.108,3.408
103.169.254.155:1080,socks5,6.122,39.117,0.256,0.042
103.56.113.176:8888,http,1.714,214.656,0.047,0.027
42.96.16.176:1312,http,1.291,1199.223,0.008,0.006
